,lat,long,alcaldia,target
26,19.43264,-99.13001,CUAUHTEMOC,Si
145,19.41765,-99.12996,CUAUHTEMOC,Si
371,19.42628,-99.12549,CUAUHTEMOC,Si
399,19.42355,-99.17407,CUAUHTEMOC,Si
400,19.42952,-99.16139,CUAUHTEMOC,Si
404,19.42941,-99.13476,CUAUHTEMOC,Si
414,19.435,-99.1504,CUAUHTEMOC,Si
523,19.43425,-99.13615,CUAUHTEMOC,Si
571,19.424229999999998,-99.17449,CUAUHTEMOC,Si
684,19.41676,-99.16755,CUAUHTEMOC,Si
742,19.405279999999998,-99.15539,CUAUHTEMOC,Si
762,19.40895,-99.16832,CUAUHTEMOC,Si
780,19.412186,-99.147207,CUAUHTEMOC,Si
942,19.44635,-99.15334,CUAUHTEMOC,Si
969,19.406489999999998,-99.15833,CUAUHTEMOC,Si
971,19.453110000000002,-99.16031,CUAUHTEMOC,Si
1041,19.413404,-99.143578,CUAUHTEMOC,Si
1042,19.4352,-99.14989,CUAUHTEMOC,Si
1200,19.4306,-99.15992,CUAUHTEMOC,Si
1201,19.43535,-99.16456,CUAUHTEMOC,Si
1243,19.45134,-99.14614,CUAUHTEMOC,Si
1259,19.4226,-99.13358000000001,CUAUHTEMOC,Si
1325,19.43171,-99.15807,CUAUHTEMOC,Si
1466,19.44398,-99.13936,CUAUHTEMOC,Si
1523,19.4296,-99.1666,CUAUHTEMOC,Si
1628,19.42907,-99.16424,CUAUHTEMOC,Si
1637,19.416729999999998,-99.14081,CUAUHTEMOC,Si
1680,19.436483,-99.15524,CUAUHTEMOC,Si
1709,19.41504,-99.16946999999999,CUAUHTEMOC,Si
1735,19.423109,-99.175606,CUAUHTEMOC,Si
1802,19.40641,-99.168373,CUAUHTEMOC,Si
1894,19.4291,-99.1637,CUAUHTEMOC,Si
1897,19.409906,-99.144271,CUAUHTEMOC,Si
1987,19.41412,-99.18036,CUAUHTEMOC,Si
2042,19.41134,-99.17884000000001,CUAUHTEMOC,Si
2066,19.436598,-99.143743,CUAUHTEMOC,Si
2106,19.44688,-99.15666,CUAUHTEMOC,Si
2126,19.442520000000002,-99.13413,CUAUHTEMOC,Si
2191,19.42661,-99.14202,CUAUHTEMOC,Si
2228,19.42097,-99.13795,CUAUHTEMOC,Si
2240,19.41178,-99.17229,CUAUHTEMOC,Si
2534,19.44657,-99.15441,CUAUHTEMOC,Si
2609,19.408615,-99.155117,CUAUHTEMOC,Si
2687,19.42791,-99.16486,CUAUHTEMOC,Si
2695,19.40254,-99.16954,CUAUHTEMOC,Si
2711,19.436483,-99.15524,CUAUHTEMOC,Si
2782,19.458701,-99.157037,CUAUHTEMOC,Si
2789,19.41553,-99.16532,CUAUHTEMOC,Si
2875,19.422591,-99.154094,CUAUHTEMOC,Si
2896,19.42238,-99.16219,CUAUHTEMOC,Si
2919,19.431825,-99.16526,CUAUHTEMOC,Si
3137,19.42728,-99.16615999999999,CUAUHTEMOC,Si
3145,19.416729999999998,-99.14081,CUAUHTEMOC,Si
3236,19.42602,-99.12803000000001,CUAUHTEMOC,Si
3269,19.422220000000003,-99.16348,CUAUHTEMOC,Si
3271,19.41566,-99.12893000000001,CUAUHTEMOC,Si
5058,19.43197,-99.133427,CUAUHTEMOC,Si
5149,19.44023,-99.14262,CUAUHTEMOC,Si
5152,19.442782,-99.13945600000001,CUAUHTEMOC,Si
5183,19.427017000000003,-99.155948,CUAUHTEMOC,Si
5239,19.431555,-99.149955,CUAUHTEMOC,Si
5270,19.433320000000002,-99.150624,CUAUHTEMOC,Si
5446,19.426271,-99.137348,CUAUHTEMOC,Si
5526,19.435938,-99.15300400000001,CUAUHTEMOC,Si
5603,19.41565,-99.17641,CUAUHTEMOC,Si
5626,19.44984,-99.16354,CUAUHTEMOC,Si
5733,19.41524,-99.134807,CUAUHTEMOC,Si
5746,19.425969,-99.15365,CUAUHTEMOC,Si
5753,19.42324,-99.15165999999999,CUAUHTEMOC,Si
5788,19.41089,-99.144255,CUAUHTEMOC,Si
5879,19.414375,-99.145219,CUAUHTEMOC,Si
5903,19.425320000000003,-99.147449,CUAUHTEMOC,Si
5925,19.44699,-99.157349,CUAUHTEMOC,Si
5954,19.431019,-99.126979,CUAUHTEMOC,Si
5982,19.422489000000002,-99.13573000000001,CUAUHTEMOC,Si
6029,19.461546,-99.137642,CUAUHTEMOC,Si
6062,19.42604,-99.168789,CUAUHTEMOC,Si
6177,19.405559,-99.1595,CUAUHTEMOC,Si
6202,19.454595,-99.126655,CUAUHTEMOC,Si
6243,19.431749,-99.165251,CUAUHTEMOC,Si
6306,19.4144,-99.16894,CUAUHTEMOC,Si
6375,19.43082,-99.13235,CUAUHTEMOC,Si
6430,19.423904999999998,-99.14979,CUAUHTEMOC,Si
6463,19.41152,-99.17146,CUAUHTEMOC,Si
6574,19.443929999999998,-99.13874,CUAUHTEMOC,Si
6590,19.456059,-99.12381500000001,CUAUHTEMOC,Si
16621,19.43671,-99.14401,CUAUHTEMOC,Si
16634,19.442608,-99.152295,CUAUHTEMOC,Si
16647,19.41822,-99.14907,CUAUHTEMOC,Si
16651,19.442938,-99.16494499999999,CUAUHTEMOC,Si
16734,19.41171,-99.15805,CUAUHTEMOC,Si
16776,19.4174,-99.16471,CUAUHTEMOC,Si
16883,19.412689999999998,-99.16643,CUAUHTEMOC,Si
16908,19.452479999999998,-99.13088,CUAUHTEMOC,Si
17094,19.429560000000002,-99.15799999999999,CUAUHTEMOC,Si
27037,19.42661,-99.14202,CUAUHTEMOC,Si
27062,19.42998,-99.13884,CUAUHTEMOC,Si
27117,19.43861,-99.12361999999999,CUAUHTEMOC,Si
27231,19.43082,-99.13235,CUAUHTEMOC,Si
27300,19.44805,-99.16394,CUAUHTEMOC,Si
27327,19.40841,-99.1376,CUAUHTEMOC,Si
27411,19.42154,-99.14314,CUAUHTEMOC,Si
27521,19.438248,-99.13764,CUAUHTEMOC,Si
27546,19.41144,-99.17856,CUAUHTEMOC,Si
27547,19.453149,-99.130759,CUAUHTEMOC,Si
27577,19.432738,-99.124533,CUAUHTEMOC,Si
27657,19.418059,-99.178179,CUAUHTEMOC,Si
27753,19.410789,-99.14187199999999,CUAUHTEMOC,Si
27872,19.412067,-99.14862600000001,CUAUHTEMOC,Si
