evento,lat,lon,dia,hora
CHOQUE,19.368116,-99.142903,lunes,12
CHOQUE,19.301142,-99.115521,lunes,18
CHOQUE,19.476843,-99.092207,lunes,18
DERRAPADO,19.298474,-98.98467,lunes,11
DERRAPADO,19.43617,-99.204754,lunes,13
DERRAPADO,19.403471,-99.192495,lunes,15
ATROPELLADO,19.47042,-99.11949,martes,10
ATROPELLADO,19.466033,-99.118281,martes,19
CHOQUE,19.430129,-99.13366,martes,8
CHOQUE,19.307989,-98.965149,martes,13
CHOQUE,19.40146,-99.12511,martes,17
CHOQUE,19.45007,-99.11594,martes,17
DERRAPADO,19.437779,-99.08709,martes,0
DERRAPADO,19.359309,-99.3021,martes,2
DERRAPADO,19.295659,-99.18488,martes,8
DERRAPADO,19.361559,-99.142779,martes,12
ATROPELLADO,19.347028,-99.009315,miércoles,13
ATROPELLADO,19.191628,-99.086689,miércoles,21
CHOQUE,19.401693,-99.155638,miércoles,19
DERRAPADO,19.424605,-99.15883,miércoles,7
DERRAPADO,19.41372,-99.136785,miércoles,13
DERRAPADO,19.434724,-99.160424,miércoles,17
DERRAPADO,19.422969,-99.134178,miércoles,19
DERRAPADO,19.35103,-99.056961,miércoles,22
DERRAPADO,19.356459,-99.110995,miércoles,22
ATROPELLADO,19.436709,-99.14401,jueves,10
CAIDA DE CICLISTA,19.43264,-99.13001,jueves,12
CHOQUE,19.425749,-99.13141,jueves,5
CHOQUE,19.372236,-99.016312,jueves,7
CHOQUE,19.502832,-99.131279,jueves,9
CHOQUE,19.29418,-99.23032,jueves,9
CHOQUE,19.395646,-99.181324,jueves,13
CHOQUE,19.410522,-99.086917,jueves,16
CHOQUE,19.357039,-99.09622,jueves,19
CHOQUE,19.391174,-99.184874,jueves,21
DERRAPADO,19.37934,-99.17245,jueves,14
DERRAPADO,19.39815,-99.09902,jueves,15
DERRAPADO,19.40363,-99.12876,jueves,20
DERRAPADO,19.458899,-99.178747,jueves,20
ATROPELLADO,19.2999,-99.0463,viernes,0
ATROPELLADO,19.353114,-99.060277,viernes,17
CHOQUE,19.356052,-99.093353,viernes,9
CHOQUE,19.422764,-99.22296,viernes,13
CHOQUE,19.387352,-99.167101,viernes,16
CHOQUE,19.442178,-99.192151,viernes,20
DERRAPADO,19.254917,-99.065882,viernes,2
DERRAPADO,19.267057,-99.148152,viernes,17
DERRAPADO,19.46524,-99.142878,viernes,17
DERRAPADO,19.347342,-99.075721,viernes,18
DERRAPADO,19.507543,-99.122592,viernes,21
DERRAPADO,19.329714,-99.222201,viernes,21
ATROPELLADO,19.36134,-99.226519,sábado,18
CHOQUE,19.35778,-99.088388,sábado,2
CHOQUE,19.319599,-99.22883,sábado,6
CHOQUE,19.459379,-99.09972,sábado,8
CHOQUE,19.377775,-99.149119,sábado,11
CHOQUE,19.41044,-99.08047,sábado,12
CHOQUE,19.393769,-99.171219,sábado,12
CHOQUE,19.458639,-99.18515,sábado,12
CHOQUE,19.321419,-99.220439,sábado,15
CHOQUE,19.49108,-99.17249,sábado,15
CHOQUE,19.447445,-99.060115,sábado,17
CHOQUE,19.36492,-99.2202,sábado,18
CHOQUE,19.503189,-99.093579,sábado,21
DERRAPADO,19.38402,-99.172779,sábado,0
DERRAPADO,19.361782,-99.096257,sábado,0
DERRAPADO,19.292339,-99.167649,sábado,13
DERRAPADO,19.359039,-98.99844,sábado,16
VOLCADURA,19.3793,-99.148119,sábado,2
ATROPELLADO,19.235287,-99.157393,domingo,2
ATROPELLADO,19.312659,-99.14069,domingo,16
ATROPELLADO,19.331506,-99.101485,domingo,17
ATROPELLADO,19.31839,-99.07565,domingo,18
CAIDA DE CICLISTA,19.30766,-99.18042,domingo,15
CHOQUE,19.437025,-99.129425,domingo,8
CHOQUE,19.26639,-99.001239,domingo,10
CHOQUE,19.383789,-99.0928,domingo,12
CHOQUE,19.479719,-99.12066,domingo,17
DERRAPADO,19.37598,-99.261259,domingo,6
DERRAPADO,19.366419,-99.20504,domingo,6
DERRAPADO,19.43811,-99.118329,domingo,13
ATROPELLADO,19.371697,-99.230806,lunes,13
ATROPELLADO,19.474603,-99.086078,lunes,15
ATROPELLADO,19.461787,-99.116165,lunes,20
CAIDA DE CICLISTA,19.390013,-99.16806,lunes,14
CAIDA DE PASAJERO,19.417307,-99.102328,lunes,8
CHOQUE,19.316342,-99.060022,lunes,10
CHOQUE,19.34358,-99.17138,lunes,11
CHOQUE,19.28033,-99.227189,lunes,16
DERRAPADO,19.466829,-99.092019,lunes,18
DERRAPADO,19.46834,-99.12493,lunes,20
CAIDA DE CICLISTA,19.39757,-99.167212,martes,21
CHOQUE,19.305558,-99.139815,martes,13
CHOQUE,19.323458,-99.138257,martes,16
CHOQUE,19.396241,-99.222523,martes,20
DERRAPADO,19.370662,-99.164921,martes,13
DERRAPADO,19.456765,-99.188946,martes,17
ATROPELLADO,19.448399,-99.10823,miércoles,14
CHOQUE,19.36796,-99.08552,miércoles,6
CHOQUE,19.37715,-99.14068,miércoles,9
CHOQUE,19.444169,-99.186869,miércoles,9
CHOQUE,19.33152,-99.21033,miércoles,10
CHOQUE,19.38131,-99.110589,miércoles,12
CHOQUE,19.39479,-99.18554,miércoles,13
CHOQUE,19.37564,-99.06824,miércoles,14
CHOQUE,19.36527,-99.00698,miércoles,17
CHOQUE,19.317549,-99.23676,miércoles,19
CHOQUE,19.416989,-99.134539,miércoles,19
DERRAPADO,19.435419,-99.114789,miércoles,0
DERRAPADO,19.29849,-99.06346,miércoles,8
DERRAPADO,19.4981,-99.07643,miércoles,16
DERRAPADO,19.46583,-99.118119,miércoles,17
VOLCADURA,19.204342,-99.041578,miércoles,0
CAIDA DE CICLISTA,19.248873,-99.071355,jueves,14
CHOQUE,19.272273,-99.206026,jueves,0
CHOQUE,19.485444,-99.125477,jueves,1
CHOQUE,19.321051,-99.22091,jueves,7
CHOQUE,19.358598,-99.08996,jueves,13
CHOQUE,19.417147,-99.066137,jueves,14
CHOQUE,19.40897,-99.127638,jueves,16
CHOQUE,19.26702,-99.103476,jueves,21
DERRAPADO,19.52137,-99.140786,jueves,2
DERRAPADO,19.436052,-99.08647,jueves,11
ATROPELLADO,19.35888,-99.18389,viernes,3
ATROPELLADO,19.388909,-99.076799,viernes,17
CAIDA DE CICLISTA,19.199382,-99.009325,viernes,18
CHOQUE,19.190739,-99.084129,viernes,9
CHOQUE,19.381356,-99.083865,viernes,16
CHOQUE,19.503067,-99.131273,viernes,20
DERRAPADO,19.503824,-99.086919,viernes,20
DERRAPADO,19.477774,-99.215037,viernes,20
VOLCADURA,19.417619,-99.093192,viernes,4
CAIDA DE CICLISTA,19.24082,-99.116529,sábado,10
CHOQUE,19.37701,-99.02098,sábado,4
CHOQUE,19.294501,-99.102324,sábado,6
CHOQUE,19.315736,-99.111496,sábado,15
DERRAPADO,19.404554,-99.125864,sábado,15
ATROPELLADO,19.450209,-99.12546,domingo,0
ATROPELLADO,19.316649,-99.25732,domingo,3
ATROPELLADO,19.395692,-99.058874,domingo,11
ATROPELLADO,19.37381,-99.002819,domingo,19
CAIDA DE CICLISTA,19.46671,-99.130399,domingo,18
CHOQUE,19.364859,-99.023299,domingo,0
CHOQUE,19.28122,-99.215039,domingo,0
CHOQUE,19.32467,-99.26304,domingo,5
CHOQUE,19.41765,-99.12996,domingo,10
CHOQUE,19.363169,-99.057399,domingo,10
CHOQUE,19.35663,-99.086559,domingo,14
CHOQUE,19.26671,-99.17092,domingo,15
CHOQUE,19.342262,-99.049432,domingo,16
DERRAPADO,19.330645,-99.107294,domingo,1
DERRAPADO,19.27076,-99.147549,domingo,6
DERRAPADO,19.331727,-99.20946,domingo,13
DERRAPADO,19.36428,-99.16184,domingo,19
ATROPELLADO,19.273289,-98.995642,lunes,16
CAIDA DE CICLISTA,19.462424,-99.119037,lunes,19
CHOQUE,19.405161,-99.122292,lunes,10
CHOQUE,19.405186,-99.200647,lunes,12
CHOQUE,19.457383,-99.129208,lunes,12
CHOQUE,19.411941,-99.132904,lunes,17
CHOQUE,19.432076,-99.102665,lunes,22
DERRAPADO,19.464257,-99.058537,lunes,8
DERRAPADO,19.471669,-99.122425,lunes,15
DERRAPADO,19.407869,-99.184707,lunes,20
ATROPELLADO,19.31102,-99.22123,martes,14
CHOQUE,19.329178,-99.272284,martes,6
CHOQUE,19.45121,-99.141329,martes,8
CHOQUE,19.49506,-99.07458,martes,8
CHOQUE,19.451699,-99.184094,martes,10
CHOQUE,19.30318,-99.055919,martes,13
CHOQUE,19.443809,-99.09837,martes,14
CHOQUE,19.389089,-99.186149,martes,14
DERRAPADO,19.387071,-99.154497,martes,2
ATROPELLADO,19.300699,-99.147679,miércoles,16
ATROPELLADO,19.416799,-99.0978,miércoles,16
ATROPELLADO,19.35114,-99.079719,miércoles,18
ATROPELLADO,19.41983,-99.11188,miércoles,18
ATROPELLADO,19.477629,-99.1846,miércoles,22
CAIDA DE PASAJERO,19.398089,-99.126619,miércoles,15
CHOQUE,19.320969,-99.22097,miércoles,8
CHOQUE,19.34781,-99.131019,miércoles,14
CHOQUE,19.492219,-99.098629,miércoles,14
CHOQUE,19.332849,-99.1185,miércoles,15
CHOQUE,19.511119,-99.09523,miércoles,16
DERRAPADO,19.48523,-99.15027,miércoles,10
ATROPELLADO,19.451099,-99.11398,jueves,18
CAIDA DE CICLISTA,19.469819,-99.13096,jueves,10
CAIDA DE CICLISTA,19.30984,-99.06971,jueves,13
CHOQUE,19.363089,-99.284,jueves,14
CHOQUE,19.380469,-99.076914,jueves,19
CHOQUE,19.29427,-98.998279,jueves,21
DERRAPADO,19.395819,-99.227391,jueves,6
ATROPELLADO,19.427534,-99.204089,viernes,8
ATROPELLADO,19.435381,-99.114803,viernes,9
ATROPELLADO,19.305552,-99.063441,viernes,15
CHOQUE,19.26651,-99.117744,viernes,7
CHOQUE,19.37533,-99.075601,viernes,12
CHOQUE,19.393448,-99.134965,viernes,14
CHOQUE,19.407935,-99.175004,viernes,17
CHOQUE,19.348778,-99.190531,viernes,17
CHOQUE,19.380786,-99.143146,viernes,17
CHOQUE,19.343531,-99.155761,viernes,17
DERRAPADO,19.467209,-99.080515,viernes,19
VOLCADURA,19.432186,-99.172059,viernes,10
VOLCADURA,19.3997,-99.18884,viernes,10
ATROPELLADO,19.35606,-99.301206,sábado,14
CHOQUE,19.36134,-99.040449,sábado,10
CHOQUE,19.269019,-99.005439,sábado,12
CHOQUE,19.343318,-99.040553,sábado,14
CHOQUE,19.492599,-99.142539,sábado,14
CHOQUE,19.30318,-99.055919,sábado,17
DERRAPADO,19.271885,-99.006566,sábado,1
DERRAPADO,19.326979,-99.06909,sábado,3
DERRAPADO,19.3696,-99.120939,sábado,17
DERRAPADO,19.42387,-99.133457,sábado,17
CHOQUE,19.451989,-99.124809,domingo,1
CHOQUE,19.47995,-99.12422,domingo,9
CHOQUE,19.3793,-99.148119,domingo,11
CHOQUE,19.465998,-99.141808,domingo,16
CHOQUE,19.356727,-99.14332,domingo,18
CHOQUE,19.32577,-99.10215,domingo,20
DERRAPADO,19.4016,-99.18653,domingo,15
ATROPELLADO,19.433783,-99.162585,lunes,10
ATROPELLADO,19.310838,-99.223931,lunes,20
ATROPELLADO,19.345998,-98.981825,lunes,
CHOQUE,19.425989,-99.133049,lunes,8
CHOQUE,19.41523,-99.134539,lunes,10
CHOQUE,19.493235,-99.099345,lunes,11
CHOQUE,19.26608,-99.115539,lunes,15
CHOQUE,19.394479,-99.13088,lunes,19
DERRAPADO,19.399334,-99.223499,lunes,6
