long,lat,prob_1,color
-99.1672,19.42698,0.274246915,0.01
-99.16722,19.42709,0.274246915,0.01
-99.16724,19.42714,0.286079545,0.01
-99.16629,19.42758,0.286079545,0.01
-99.1642,19.42855,0.286079545,0.01
-99.16393,19.42868,0.274246915,0.01
-99.16392,19.42866,0.274246915,0.01
-99.1639,19.42865,0.274246915,0.01
-99.16388,19.42864,0.274246915,0.01
-99.16375,19.42859,0.286079545,0.01
-99.16361,19.4286,0.286079545,0.01
-99.16359,19.42861,0.286079545,0.01
-99.16343,19.4283,0.286079545,0.01
-99.16341,19.42826,0.274246915,0.01
-99.16322,19.4279,0.274246915,0.01
-99.16282,19.42714,0.274246915,0.01
-99.16232,19.42624,0.274246915,0.01
-99.16208,19.4258,0.274246915,0.01
-99.16202,19.42569,0.274246915,0.01
-99.162,19.42565,0.274246915,0.01
-99.16191,19.42545,0.274246915,0.01
-99.16186,19.42536,0.286079545,0.01
-99.16142,19.42449,0.286079545,0.01
-99.16133,19.42431,0.274246915,0.01
-99.16119,19.42402,0.274246915,0.01
-99.15999,19.42429,0.274246915,0.01
-99.15935,19.42445,0.274246915,0.01
-99.1593,19.42452,0.274246915,0.01
-99.15903,19.42458,0.286079545,0.01
-99.15883,19.42463,0.286079545,0.01
-99.15875,19.42465,0.274246915,0.01
-99.15809,19.4248,0.274246915,0.01
-99.1576,19.42491,0.274246915,0.01
-99.15733,19.42497,0.274246915,0.01
-99.1569,19.42507,0.286079545,0.01
-99.1564,19.42518,0.286079545,0.01
-99.15621,19.42523,0.274246915,0.01
-99.15539,19.42542,0.274246915,0.01
-99.15523,19.42546,0.274246915,0.01
-99.15509,19.42549,0.274246915,0.01
-99.15424,19.42568,0.274246915,0.01
-99.15401,19.42574,0.274246915,0.01
-99.15373,19.42581,0.274246915,0.01
-99.15353,19.42582,0.274246915,0.01
-99.15333,19.42583,0.274246915,0.01
-99.1532,19.42583,0.274246915,0.01
-99.15252,19.42581,0.286079545,0.01
-99.15113,19.42572,0.274246915,0.01
-99.15052,19.42568,0.274246915,0.01
-99.14936,19.42561,0.274246915,0.01
-99.1493,19.4256,0.286079545,0.01
-99.14923,19.4256,0.274246915,0.01
-99.14742,19.42545,0.274246915,0.01
-99.1466,19.42534,0.274246915,0.01
-99.14645,19.42532,0.274246915,0.01
-99.14629,19.4253,0.274246915,0.01
-99.14476,19.42509,0.286079545,0.01
-99.14463,19.42507,0.286079545,0.01
-99.14369,19.42495,0.286079545,0.01
-99.14338,19.42491,0.274246915,0.01
-99.14259,19.42482,0.278360837,0.01
-99.14253,19.42481,0.278360837,0.01
-99.14249,19.4248,0.278360837,0.01
-99.13974,19.42446,0.278360837,0.01
-99.13822,19.42428,0.278360837,0.01
-99.13764,19.4242,0.278360837,0.01
-99.13759,19.4242,0.278360837,0.01
-99.13746,19.42532,0.278360837,0.01
-99.1374,19.42579,0.278360837,0.01
-99.13732,19.42627,0.290222363,0.01
-99.13731,19.42635,0.278360837,0.01
-99.13888,19.42649,0.278360837,0.01
-99.13913,19.42651,0.278360837,0.01
